date,weather,temperature_high,temperature_low
2019年03月03日,晴/多云,28℃,9℃
2019年03月04日,多云/晴,26℃,8℃
2019年03月05日,晴/晴,27℃,12℃
2019年03月06日,阵雨/晴,25℃,10℃
2019年03月07日,多云/晴,27℃,10℃
2019年03月08日,晴/晴,28℃,12℃
2019年03月09日,晴/晴,27℃,10℃
2019年03月10日,多云/晴,28℃,10℃
2019年03月11日,多云/晴,27℃,9℃
2019年03月12日,晴/晴,30℃,9℃
2019年03月13日,晴/晴,31℃,12℃
2019年03月14日,晴/晴,31℃,13℃
2019年03月15日,晴/晴,31℃,14℃
2019年03月16日,晴/晴,31℃,13℃
2019年03月17日,晴/晴,30℃,11℃
2019年03月18日,晴/多云,31℃,14℃
2019年03月19日,多云/晴,28℃,12℃
2019年03月20日,晴/晴,28℃,13℃
2019年03月21日,晴/晴,27℃,13℃
2019年03月22日,晴/晴,30℃,12℃
2019年03月23日,多云/多云,29℃,12℃
2019年03月24日,晴/晴,30℃,12℃
2019年03月25日,晴/晴,32℃,13℃
2019年03月26日,晴/晴,33℃,14℃
2019年03月27日,晴/晴,31℃,13℃
2019年03月28日,晴/晴,29℃,14℃
2019年03月29日,晴/晴,32℃,13℃
2019年03月30日,晴/晴,32℃,14℃
2019年03月31日,多云/多云,32℃,15℃
2019年04月01日,多云/晴,31℃,14℃
2019年04月02日,晴/晴,30℃,15℃
2019年04月03日,晴/小雨,28℃,14℃
2019年04月04日,晴/晴,28℃,12℃
2019年04月05日,多云/小雨,28℃,14℃
2019年04月06日,晴/晴,30℃,13℃
2019年04月07日,晴/晴,33℃,15℃
2019年04月08日,多云/晴,31℃,13℃
2019年04月09日,晴/晴,32℃,17℃
2019年04月10日,晴/晴,29℃,17℃
2019年04月11日,多云/晴,32℃,16℃
2019年04月12日,晴/晴,35℃,16℃
2019年04月13日,晴/晴,36℃,17℃
2019年04月14日,多云/多云,34℃,18℃
2019年04月15日,晴/晴,32℃,19℃
2019年04月16日,晴/晴,31℃,18℃
2019年04月17日,晴/晴,34℃,19℃
2019年04月18日,晴/晴,36℃,16℃
2019年04月19日,晴/晴,35℃,16℃
2019年04月20日,晴/晴,35℃,19℃
2019年04月21日,晴/晴,31℃,18℃
2019年04月22日,多云/多云,35℃,18℃
2019年04月23日,晴/晴,35℃,18℃
2019年04月24日,晴/晴,35℃,19℃
2019年04月25日,多云/多云,35℃,19℃
2019年04月26日,晴/晴,36℃,19℃
2019年04月27日,晴/晴,36℃,19℃
2019年04月28日,多云/多云,35℃,19℃
2019年04月29日,多云/多云,32℃,20℃
2019年04月30日,小雨/小雨,30℃,18℃
2019年05月01日,多云/多云,31℃,18℃
2019年05月02日,多云/晴,32℃,19℃
2019年05月03日,晴/晴,36℃,22℃
2019年05月04日,晴/多云,38℃,22℃
2019年05月05日,晴/晴,36℃,23℃
2019年05月06日,多云/晴,35℃,19℃
2019年05月07日,晴/晴,36℃,19℃
2019年05月08日,晴/晴,34℃,22℃
2019年05月09日,多云/多云,34℃,18℃
2019年05月10日,多云/晴,34℃,19℃
2019年05月11日,晴/晴,36℃,20℃
2019年05月12日,晴/晴,36℃,23℃
2019年05月13日,晴/晴,37℃,20℃
2019年05月14日,晴/晴,37℃,20℃
2019年05月15日,晴/晴,37℃,21℃
2019年05月16日,晴/晴,37℃,21℃
2019年05月17日,晴/晴,38℃,21℃
2019年05月18日,晴/晴,38℃,22℃
2019年05月19日,晴/多云,37℃,21℃
2019年05月20日,晴/晴,37℃,20℃
2019年05月21日,晴/多云,42℃,21℃
2019年05月22日,晴/阵雨,32℃,22℃
2019年05月23日,多云/多云,35℃,21℃
2019年05月24日,晴/晴,39℃,23℃
2019年05月25日,晴/晴,38℃,23℃
2019年05月26日,多云/小雨,36℃,22℃
2019年05月27日,阵雨/小雨,31℃,21℃
2019年05月28日,晴/小雨,34℃,20℃
2019年05月29日,阵雨/晴,35℃,20℃
2019年05月30日,多云/小雨,37℃,21℃
2019年05月31日,多云/小雨,32℃,20℃
2019年06月01日,阵雨/阵雨,24℃,17℃
2019年06月02日,晴/晴,30℃,17℃
2019年06月03日,多云/小雨,35℃,20℃
2019年06月04日,多云/多云,34℃,20℃
2019年06月05日,多云/多云,36℃,21℃
2019年06月06日,晴/晴,36℃,24℃
2019年06月07日,晴/晴,37℃,24℃
2019年06月08日,晴/晴,38℃,24℃
2019年06月09日,多云/多云,38℃,23℃
2019年06月10日,晴/晴,34℃,23℃
2019年06月11日,多云/多云,39℃,23℃
2019年06月12日,晴/阵雨,36℃,22℃
2019年06月13日,阵雨/大雨,32℃,22℃
2019年06月14日,雷阵雨/阵雨,33℃,23℃
2019年06月15日,阵雨/小雨,31℃,23℃
2019年06月16日,雷阵雨/大雨,33℃,23℃
2019年06月17日,小雨/中雨,33℃,21℃
2019年06月18日,小雨/小雨,32℃,22℃
2019年06月19日,晴/晴,34℃,24℃
2019年06月20日,多云/多云,34℃,22℃
2019年06月21日,多云/多云,38℃,24℃
2019年06月22日,晴/阵雨,37℃,25℃
2019年06月23日,小雨/中雨,34℃,23℃
2019年06月24日,阵雨/中雨,30℃,22℃
2019年06月25日,中雨/中雨,28℃,20℃
2019年06月26日,阵雨/阵雨,26℃,20℃
2019年06月27日,多云/阴,32℃,22℃
2019年06月28日,晴/阵雨,35℃,23℃
2019年06月29日,小雨/中雨,29℃,21℃
2019年06月30日,小雨/小雨,26℃,19℃
2019年07月01日,多云/阴,31℃,20℃
2019年07月02日,多云/小雨,33℃,21℃
2019年07月03日,小雨/中雨,33℃,21℃
2019年07月04日,阵雨/阵雨,30℃,21℃
2019年07月05日,小雨/中雨,27℃,20℃
2019年07月06日,小雨/小雨,27℃,20℃
2019年07月07日,小雨/小雨,33℃,21℃
2019年07月08日,小雨/大雨,31℃,20℃
2019年07月09日,中雨/小雨,27℃,19℃
2019年07月10日,小雨/小雨,27℃,20℃
2019年07月11日,阵雨/阵雨,27℃,21℃
2019年07月12日,小雨/小雨,28℃,20℃
2019年07月13日,阵雨/阵雨,25℃,20℃
2019年07月14日,小雨/小雨,29℃,20℃
2019年07月15日,阵雨/阵雨,32℃,21℃
2019年07月16日,阴/小雨,33℃,21℃
2019年07月17日,阵雨/小雨,33℃,22℃
2019年07月18日,阴/中雨,33℃,21℃
2019年07月19日,阵雨/阵雨,29℃,22℃
2019年07月20日,中雨/小雨,29℃,20℃
2019年07月21日,阵雨/小雨,30℃,21℃
2019年07月22日,小雨/大雨,31℃,20℃
2019年07月23日,中雨/中雨,26℃,20℃
2019年07月24日,小雨/中雨,31℃,20℃
2019年07月25日,小雨/小雨,29℃,20℃
2019年07月26日,阵雨/小雨,30℃,20℃
2019年07月27日,多云/小雨,33℃,21℃
2019年07月28日,多云/小雨,33℃,21℃
